tri,taille,cas,plage,temps
comptage,15000,decroissant,petite,0.000114
fusion,15000,decroissant,petite,0.001246
rapide,15000,decroissant,petite,0.000508
bulle_basique,15000,constant,petite,0.289013
bulle_basique_v2,15000,constant,petite,0.144416
bulle_optimise,15000,constant,petite,0.000020
cocktail,15000,constant,petite,0.000039
selection,15000,constant,petite,0.144346
insertion,15000,constant,petite,0.000035
comptage,15000,constant,petite,0.000070
fusion,15000,constant,petite,0.001233
rapide,15000,constant,petite,0.237121
bulle_basique,15000,aleatoire,grande,0.520235
bulle_basique_v2,15000,aleatoire,grande,0.384371
bulle_optimise,15000,aleatoire,grande,0.380917
cocktail,15000,aleatoire,grande,0.287360
selection,15000,aleatoire,grande,0.145471
insertion,15000,aleatoire,grande,0.076327
comptage,15000,aleatoire,grande,0.002210
fusion,15000,aleatoire,grande,0.002122
rapide,15000,aleatoire,grande,0.001248
bulle_basique,15000,croissant,grande,0.288378
bulle_basique_v2,15000,croissant,grande,0.144243
bulle_optimise,15000,croissant,grande,0.000019
cocktail,15000,croissant,grande,0.000038
selection,15000,croissant,grande,0.144469
insertion,15000,croissant,grande,0.000033
comptage,15000,croissant,grande,0.000110
fusion,15000,croissant,grande,0.001349
rapide,15000,croissant,grande,0.000417
bulle_basique,15000,decroissant,grande,0.391148
bulle_basique_v2,15000,decroissant,grande,0.256974
bulle_optimise,15000,decroissant,grande,0.257909
cocktail,15000,decroissant,grande,0.248888
selection,15000,decroissant,grande,0.161669
insertion,15000,decroissant,grande,0.151217
comptage,15000,decroissant,grande,0.000090
fusion,15000,decroissant,grande,0.001458
rapide,15000,decroissant,grande,0.000508
bulle_basique,15000,constant,grande,0.287611
bulle_basique_v2,15000,constant,grande,0.143728
bulle_optimise,15000,constant,grande,0.000019
cocktail,15000,constant,grande,0.000038
selection,15000,constant,grande,0.143982
insertion,15000,constant,grande,0.000033
comptage,15000,constant,grande,0.000826
fusion,15000,constant,grande,0.001422
rapide,15000,constant,grande,0.236437
bulle_basique,17000,aleatoire,petite,0.672053
bulle_basique_v2,17000,aleatoire,petite,0.497790
bulle_optimise,17000,aleatoire,petite,0.500135
cocktail,17000,aleatoire,petite,0.378030
selection,17000,aleatoire,petite,0.187154
insertion,17000,aleatoire,petite,0.097016
comptage,17000,aleatoire,petite,0.000068
fusion,17000,aleatoire,petite,0.002027
rapide,17000,aleatoire,petite,0.015889
bulle_basique,17000,croissant,petite,0.379501
bulle_basique_v2,17000,croissant,petite,0.186806
bulle_optimise,17000,croissant,petite,0.000022
cocktail,17000,croissant,petite,0.000043
selection,17000,croissant,petite,0.184810
insertion,17000,croissant,petite,0.000039
comptage,17000,croissant,petite,0.000117
fusion,17000,croissant,petite,0.001384
rapide,17000,croissant,petite,0.000478
bulle_basique,17000,decroissant,petite,0.501885
bulle_basique_v2,17000,decroissant,petite,0.329300
bulle_optimise,17000,decroissant,petite,0.331563
cocktail,17000,decroissant,petite,0.319916
selection,17000,decroissant,petite,0.207921
insertion,17000,decroissant,petite,0.193336
comptage,17000,decroissant,petite,0.000118
fusion,17000,decroissant,petite,0.001413
rapide,17000,decroissant,petite,0.000578
bulle_basique,17000,constant,petite,0.369003
bulle_basique_v2,17000,constant,petite,0.184392
bulle_optimise,17000,constant,petite,0.000022
cocktail,17000,constant,petite,0.000044
selection,17000,constant,petite,0.184851
insertion,17000,constant,petite,0.000045
comptage,17000,constant,petite,0.000083
fusion,17000,constant,petite,0.001452
rapide,17000,constant,petite,0.303581
